artist,title,lyrics,duration,year,lyrics_clean,lemmatized,lemmatized_text
Frank Sinatra,Fly Me to the Moon,"Fly me to the moon
Let me play among the stars
And let me see what spring is like
On a-Jupiter and Mars
In other words, hold my hand
In other words, baby, kiss me
Fill my heart with song
And let me sing forevermore
You are all I long for
All I worship and adore
In other words, please be true
In other words, I love you
Fill my heart with song
Let me sing forevermore
You are all I long for
All I worship and adore
In other words, please be true
In other words, in other words
I love you",148,2015.0,fly me to the moon let me play among the stars and let me see what spring is like on a jupiter and mars in other words hold my hand in other words baby kiss me fill my heart with song and let me sing forevermore you are all i long for all i worship and adore in other words please be true in other words i love you fill my heart with song let me sing forevermore you are all i long for all i worship and adore in other words please be true in other words in other words i love you,"['fly', 'moon', 'let', 'play', 'star', 'let', 'spring', 'like', 'jupiter', 'mar', 'word', 'hold', 'hand', 'word', 'baby', 'kiss', 'fill', 'heart', 'song', 'let', 'sing', 'forevermore', 'long', 'worship', 'adore', 'word', 'true', 'word', 'love', 'fill', 'heart', 'song', 'let', 'sing', 'forevermore', 'long', 'worship', 'adore', 'word', 'true', 'word', 'word', 'love']",fly moon let play star let spring like jupiter mar word hold hand word baby kiss fill heart song let sing forevermore long worship adore word true word love fill heart song let sing forevermore long worship adore word true word word love
Frank Sinatra,My Way,"And now, the end is near
And so I face the final curtain
My friend, I'll say it clear
I'll state my case, of which I'm certain
I've lived a life that's full
I traveled each and every highway
And more, much more than this
I did it my way
Regrets, I've had a few
But then again, too few to mention
I did what I had to do
And saw it through without exemption
I planned each charted course
Each careful step along the byway
And more, much more than this
I did it my way
Yes, there were times, I'm sure you knew
When I bit off more than I could chew
But through it all, when there was doubt
I ate it up and spit it out
I faced it all, and I stood tall
And did it my way
I've loved, I've laughed and cried
I've had my fill, my share of losing
And now, as tears subside
I find it all so amusing
To think I did all that
And may I say, not in a shy way
Oh, no, oh, no, not me
I did it my way
For what is a man, what has he got?
If not himself, then he has naught
To say the things he truly feels
And not the words of one who kneels
The record shows I took the blows
And did it my way
Yes, it was my way",277,1997.0,and now the end is near and so i face the final curtain my friend i ll say it clear i ll state my case of which i m certain i ve lived a life that s full i traveled each and every highway and more much more than this i did it my way regrets i ve had a few but then again too few to mention i did what i had to do and saw it through without exemption i planned each charted course each careful step along the byway and more much more than this i did it my way yes there were times i m sure you knew when i bit off more than i could chew but through it all when there was doubt i ate it up and spit it out i faced it all and i stood tall and did it my way i ve loved i ve laughed and cried i ve had my fill my share of losing and now as tears subside i find it all so amusing to think i did all that and may i say not in a shy way oh no oh no not me i did it my way for what is a man what has he got if not himself then he has naught to say the things he truly feels and not the words of one who kneels the record shows i took the blows and did it my way yes it was my way,"['end', 'near', 'face', 'final', 'curtain', 'friend', 'clear', 'state', 'case', 'certain', 'live', 'life', 'travel', 'highway', 'way', 'regret', 'mention', 'see', 'exemption', 'plan', 'chart', 'course', 'careful', 'step', 'byway', 'way', 'yes', 'time', 'sure', 'know', 'bit', 'chew', 'doubt', 'eat', 'spit', 'face', 'stand', 'tall', 'way', 'love', 'laugh', 'cry', 'fill', 'share', 'lose', 'tear', 'subside', 'find', 'amusing', 'think', 'shy', 'way', 'way', 'man', 'get', 'naught', 'thing', 'truly', 'feel', 'word', 'kneel', 'record', 'show', 'take', 'blow', 'way', 'yes', 'way']",end near face final curtain friend clear state case certain live life travel highway way regret mention see exemption plan chart course careful step byway way yes time sure know bit chew doubt eat spit face stand tall way love laugh cry fill share lose tear subside find amusing think shy way way man get naught thing truly feel word kneel record show take blow way yes way
Frank Sinatra,That’s Life,"That's life (That's life), that's what all the people say
You're riding high in April, shot down in May
But I know I'm gonna change that tune
When I'm back on top, back on top in June
I said, that's life (That's life), and as funny as it may seem
Some people get their kicks stompin' on a dream
But I don't let it, let it get me down
'Cause this fine old world, it keeps spinning around
I've been a puppet, a pauper, a pirate, a poet, a pawn and a king
I've been up and down and over and out, and I know one thing
Each time I find myself flat on my face
I pick myself up and get back in the race
That's life (That's life), I tell ya, I can't deny it
I thought of quitting, baby
But my heart just ain't gonna buy it
And if I didn't think it was worth one single try
I'd jump right on a big bird and then I'd fly
I've been a puppet, a pauper, a pirate, a poet, a pawn and a king
I've been up and down and over and out, and I know one thing
Each time I find myself laying flat on my face
I just pick myself up and get back in the race
That's life (That's life), that's life and I can't deny it
Many times I thought of cutting out but my heart won't buy it
But if there's nothing shaking come this here July
I'm gonna roll myself up in a big ball and die
My, my",188,1966.0,that s life that s life that s what all the people say you re riding high in april shot down in may but i know i m gonna change that tune when i m back on top back on top in june i said that s life that s life and as funny as it may seem some people get their kicks stompin on a dream but i don t let it let it get me down cause this fine old world it keeps spinning around i ve been a puppet a pauper a pirate a poet a pawn and a king i ve been up and down and over and out and i know one thing each time i find myself flat on my face i pick myself up and get back in the race that s life that s life i tell ya i can t deny it i thought of quitting baby but my heart just ain t gonna buy it and if i didn t think it was worth one single try i d jump right on a big bird and then i d fly i ve been a puppet a pauper a pirate a poet a pawn and a king i ve been up and down and over and out and i know one thing each time i find myself laying flat on my face i just pick myself up and get back in the race that s life that s life that s life and i can t deny it many times i thought of cutting out but my heart won t buy it but if there s nothing shaking come this here july i m gonna roll myself up in a big ball and die my my,"['life', 'life', 'people', 'ride', 'high', 'april', 'shoot', 'know', 'go', 'to', 'change', 'tune', 'june', 'say', 'life', 'life', 'funny', 'people', 'kick', 'stompin', 'dream', 'let', 'let', 'cause', 'fine', 'old', 'world', 'keep', 'spin', 'puppet', 'pauper', 'pirate', 'poet', 'pawn', 'king', 'know', 'thing', 'time', 'find', 'flat', 'face', 'pick', 'race', 'life', 'life', 'tell', 'deny', 'think', 'quit', 'baby', 'heart', 'go', 'to', 'buy', 'think', 'worth', 'single', 'try', 'jump', 'right', 'big', 'bird', 'fly', 'puppet', 'pauper', 'pirate', 'poet', 'pawn', 'king', 'know', 'thing', 'time', 'find', 'lay', 'flat', 'face', 'pick', 'race', 'life', 'life', 'life', 'deny', 'time', 'think', 'cut', 'heart', 'win', 'buy', 'shake', 'come', 'july', 'go', 'to', 'roll', 'big', 'ball', 'die']",life life people ride high april shoot know go to change tune june say life life funny people kick stompin dream let let cause fine old world keep spin puppet pauper pirate poet pawn king know thing time find flat face pick race life life tell deny think quit baby heart go to buy think worth single try jump right big bird fly puppet pauper pirate poet pawn king know thing time find lay flat face pick race life life life deny time think cut heart win buy shake come july go to roll big ball die
Frank Sinatra,"Theme from New York, New York","Start spreading the news, I'm leaving today
I want to be a part of it: New York, New York
These vagabond shoes are longing to stray
Right through the very heart of it: New York, New York
I wanna wake up in a city that doesn't sleep
And find I'm king of the hill, top of the heap
These little town blues are melting away
I'll make a brand new start of it in old New York
If I can make it there, I'll make it anywhere
It's up to you, New York, New York
New York, New York
I want to wake up in a city that never sleeps
And find I'm a number one, top of the list
King of the hill, a number one
These little town blues are melting away
I'm gonna make a brand new start of it in old New York
And if I can make it there, I'm gonna make it anywhere
It's up to you, New York, New York",205,1980.0,start spreading the news i m leaving today i want to be a part of it new york new york these vagabond shoes are longing to stray right through the very heart of it new york new york i wanna wake up in a city that doesn t sleep and find i m king of the hill top of the heap these little town blues are melting away i ll make a brand new start of it in old new york if i can make it there i ll make it anywhere it s up to you new york new york new york new york i want to wake up in a city that never sleeps and find i m a number one top of the list king of the hill a number one these little town blues are melting away i m gonna make a brand new start of it in old new york and if i can make it there i m gonna make it anywhere it s up to you new york new york,"['start', 'spread', 'news', 'leave', 'today', 'want', 'new', 'york', 'new', 'york', 'vagabond', 'shoe', 'long', 'stray', 'right', 'heart', 'new', 'york', 'new', 'york', 'wanna', 'wake', 'city', 'doesn', 'sleep', 'find', 'king', 'hill', 'heap', 'little', 'town', 'blue', 'melt', 'away', 'brand', 'new', 'start', 'old', 'new', 'york', 'new', 'york', 'new', 'york', 'new', 'york', 'new', 'york', 'want', 'wake', 'city', 'sleep', 'find', 'number', 'list', 'king', 'hill', 'number', 'little', 'town', 'blue', 'melt', 'away', 'go', 'to', 'brand', 'new', 'start', 'old', 'new', 'york', 'go', 'to', 'new', 'york', 'new', 'york']",start spread news leave today want new york new york vagabond shoe long stray right heart new york new york wanna wake city doesn sleep find king hill heap little town blue melt away brand new start old new york new york new york new york new york want wake city sleep find number list king hill number little town blue melt away go to brand new start old new york go to new york new york
Frank Sinatra,The Girl From Ipanema (Garota De Ipanema),"Tall and tan and young and lovely
The girl from Ipanema goes walking
And when she passes
Each one she passes goes ""ah""
When she walks, she's like a samba
That swings so cool and sways so gentle
That when she passes
Each one she passes goes  ""ooh""
But I watch her so sadly
How can I tell her I love her
Yes, I would give my heart gladly
But each day, when she walks to the sea
She looks straight ahead, not at me
Tall and tan and young and lovely
The girl from Ipanema goes walking
And when she passes
I smile but she doesn't see, doesn't see
Olha que coisa mais linda mais cheia de graça
Ela menina que vem e que passa
Num doce balanço a caminho do mar
Moça do corpo dourado do sol de Ipanema
O seu balançado parece um poema
É a coisa mais linda que eu já vi passar..
Ooh, but I watch her so sadly
Ah, porque tudo é tão triste
Yes, I would give my heart gladly
But each day, when she walks to the sea
She looks straight ahead, not at me
Tall, tan, young, lovely
The girl from Ipanema goes walking
And when she passes
I smile but she doesn't see
Por causa do amor
She just doesn't see
Nem olha para mim
She never sees me
Por causa do amor",125,1971.0,tall and tan and young and lovely the girl from ipanema goes walking and when she passes each one she passes goes ah when she walks she s like a samba that swings so cool and sways so gentle that when she passes each one she passes goes ooh but i watch her so sadly how can i tell her i love her yes i would give my heart gladly but each day when she walks to the sea she looks straight ahead not at me tall and tan and young and lovely the girl from ipanema goes walking and when she passes i smile but she doesn t see doesn t see olha que coisa mais linda mais cheia de graça ela menina que vem e que passa num doce balanço a caminho do mar moça do corpo dourado do sol de ipanema o seu balançado parece um poema é a coisa mais linda que eu já vi passar ooh but i watch her so sadly ah porque tudo é tão triste yes i would give my heart gladly but each day when she walks to the sea she looks straight ahead not at me tall tan young lovely the girl from ipanema goes walking and when she passes i smile but she doesn t see por causa do amor she just doesn t see nem olha para mim she never sees me por causa do amor,"['tall', 'tan', 'young', 'lovely', 'girl', 'ipanema', 'go', 'walk', 'pass', 'pass', 'go', 'ah', 'walk', 'like', 'samba', 'swing', 'cool', 'sway', 'gentle', 'pass', 'pass', 'go', 'ooh', 'watch', 'sadly', 'tell', 'love', 'yes', 'heart', 'gladly', 'day', 'walk', 'sea', 'look', 'straight', 'ahead', 'tall', 'tan', 'young', 'lovely', 'girl', 'ipanema', 'go', 'walk', 'pass', 'smile', 'doesn', 'doesn', 'olha', 'que', 'coisa', 'mais', 'linda', 'mais', 'cheia', 'graça', 'ela', 'menina', 'que', 'vem', 'que', 'passa', 'num', 'doce', 'balanço', 'caminho', 'mar', 'moça', 'corpo', 'dourado', 'sol', 'ipanema', 'seu', 'balançado', 'parece', 'um', 'poema', 'coisa', 'mais', 'linda', 'que', 'eu', 'já', 'vi', 'passar', 'ooh', 'watch', 'sadly', 'ah', 'porque', 'tudo', 'tão', 'triste', 'yes', 'heart', 'gladly', 'day', 'walk', 'sea', 'look', 'straight', 'ahead', 'tall', 'tan', 'young', 'lovely', 'girl', 'ipanema', 'go', 'walk', 'pass', 'smile', 'doesn', 'por', 'causa', 'amor', 'doesn', 'nem', 'olha', 'para', 'mim', 'see', 'por', 'causa', 'amor']",tall tan young lovely girl ipanema go walk pass pass go ah walk like samba swing cool sway gentle pass pass go ooh watch sadly tell love yes heart gladly day walk sea look straight ahead tall tan young lovely girl ipanema go walk pass smile doesn doesn olha que coisa mais linda mais cheia graça ela menina que vem que passa num doce balanço caminho mar moça corpo dourado sol ipanema seu balançado parece um poema coisa mais linda que eu já vi passar ooh watch sadly ah porque tudo tão triste yes heart gladly day walk sea look straight ahead tall tan young lovely girl ipanema go walk pass smile doesn por causa amor doesn nem olha para mim see por causa amor
Frank Sinatra,Have Yourself a Merry Little Christmas,"Have yourself a merry little Christmas
Let your heart be light
From now on, our troubles will be out of sight
Have yourself a merry little Christmas (Merry little Christmas)
Make the Yuletide gay (Make the Yuletide gay)
From now on, our troubles will be miles away
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years, we all will be together
If the fates allow
Hang a shining star upon the highest bough
And have yourself a merry little Christmas now
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years, we all will be together
If the fates allow
Hang a shining star upon the highest bough
And have yourself a merry little Christmas now
Merry Christmas, Merry Christmas",216,1966.0,have yourself a merry little christmas let your heart be light from now on our troubles will be out of sight have yourself a merry little christmas merry little christmas make the yuletide gay make the yuletide gay from now on our troubles will be miles away here we are as in olden days happy golden days of yore faithful friends who are dear to us gather near to us once more through the years we all will be together if the fates allow hang a shining star upon the highest bough and have yourself a merry little christmas now here we are as in olden days happy golden days of yore faithful friends who are dear to us gather near to us once more through the years we all will be together if the fates allow hang a shining star upon the highest bough and have yourself a merry little christmas now merry christmas merry christmas,"['merry', 'little', 'christmas', 'let', 'heart', 'light', 'trouble', 'sight', 'merry', 'little', 'christmas', 'merry', 'little', 'christmas', 'yuletide', 'gay', 'yuletide', 'gay', 'trouble', 'mile', 'away', 'olden', 'day', 'happy', 'golden', 'day', 'yore', 'faithful', 'friend', 'dear', 'gather', 'near', 'year', 'fate', 'allow', 'hang', 'shine', 'star', 'high', 'bough', 'merry', 'little', 'christmas', 'olden', 'day', 'happy', 'golden', 'day', 'yore', 'faithful', 'friend', 'dear', 'gather', 'near', 'year', 'fate', 'allow', 'hang', 'shine', 'star', 'high', 'bough', 'merry', 'little', 'christmas', 'merry', 'christmas', 'merry', 'christmas']",merry little christmas let heart light trouble sight merry little christmas merry little christmas yuletide gay yuletide gay trouble mile away olden day happy golden day yore faithful friend dear gather near year fate allow hang shine star high bough merry little christmas olden day happy golden day yore faithful friend dear gather near year fate allow hang shine star high bough merry little christmas merry christmas merry christmas
Frank Sinatra,Somethin’ Stupid,"I know I stand in line until you think you have the time to spend an evening with me
And if we go someplace to dance, I know that there's a chance you won't be leaving with me
Then afterwards we drop into a quiet little place and have a drink or two
And then I go and spoil it all by saying somethin' stupid like, ""I love you""
I can see it in your eyes, that you despise the same old lies you heard the night before
And though it's just a line to you, for me it's true, and never seemed so right before
I practice every day to find some clever lines to say to make the meaning come true
But then I think I'll wait until the evening gets late, and I'm alone with you
The time is right, your perfume fills my head, the stars get red, and, oh, the night's so blue
And then I go and spoil it all by saying somethin' stupid like, ""I love you""
The time is right, your perfume fills my head, the stars get red, and, oh, the night's so blue
And then I go and spoil it all by saying somethin' stupid like, ""I love you""
""I love you""
""I love you""
""I love you""
""I love you""",163,1967.0,i know i stand in line until you think you have the time to spend an evening with me and if we go someplace to dance i know that there s a chance you won t be leaving with me then afterwards we drop into a quiet little place and have a drink or two and then i go and spoil it all by saying somethin stupid like i love you i can see it in your eyes that you despise the same old lies you heard the night before and though it s just a line to you for me it s true and never seemed so right before i practice every day to find some clever lines to say to make the meaning come true but then i think i ll wait until the evening gets late and i m alone with you the time is right your perfume fills my head the stars get red and oh the night s so blue and then i go and spoil it all by saying somethin stupid like i love you the time is right your perfume fills my head the stars get red and oh the night s so blue and then i go and spoil it all by saying somethin stupid like i love you i love you i love you i love you i love you ,"['know', 'stand', 'line', 'think', 'time', 'spend', 'evening', 'someplace', 'dance', 'know', 'chance', 'win', 'leave', 'drop', 'quiet', 'little', 'place', 'drink', 'spoil', 'say', 'somethin', 'stupid', 'like', 'love', 'eye', 'despise', 'old', 'lie', 'hear', 'night', 'line', 'true', 'right', 'practice', 'day', 'find', 'clever', 'line', 'meaning', 'come', 'true', 'think', 'wait', 'evening', 'get', 'late', 'time', 'right', 'perfume', 'fill', 'head', 'star', 'red', 'night', 'blue', 'spoil', 'say', 'somethin', 'stupid', 'like', 'love', 'time', 'right', 'perfume', 'fill', 'head', 'star', 'red', 'night', 'blue', 'spoil', 'say', 'somethin', 'stupid', 'like', 'love', 'love', 'love', 'love', 'love']",know stand line think time spend evening someplace dance know chance win leave drop quiet little place drink spoil say somethin stupid like love eye despise old lie hear night line true right practice day find clever line meaning come true think wait evening get late time right perfume fill head star red night blue spoil say somethin stupid like love time right perfume fill head star red night blue spoil say somethin stupid like love love love love love
Frank Sinatra,It Was a Very Good Year,"When I was seventeen
It was a very good year
It was a very good year for small town girls
And soft summer nights
We'd hide from the lights
On the village green
When I was seventeen
When I was twenty-one
It was a very good year
It was a very good year for city girls
Who lived up the stair
With all that perfumed hair
And it came undone
When I was twenty-one
When I was thirty-five
It was a very good year
It was a very good year for blue-blooded girls
Of independent means
We'd ride in limousines
Their chauffeurs would drive
When I was thirty-five
But now the days are short
I'm in the autumn of the year
And now I think of my life as vintage wine
From fine old kegs
From the brim to the dregs
It poured sweet and clear
It was a very good year",267,1968.0,when i was seventeen it was a very good year it was a very good year for small town girls and soft summer nights we d hide from the lights on the village green when i was seventeen when i was twenty one it was a very good year it was a very good year for city girls who lived up the stair with all that perfumed hair and it came undone when i was twenty one when i was thirty five it was a very good year it was a very good year for blue blooded girls of independent means we d ride in limousines their chauffeurs would drive when i was thirty five but now the days are short i m in the autumn of the year and now i think of my life as vintage wine from fine old kegs from the brim to the dregs it poured sweet and clear it was a very good year,"['seventeen', 'good', 'year', 'good', 'year', 'small', 'town', 'girl', 'soft', 'summer', 'night', 'hide', 'light', 'village', 'green', 'seventeen', 'good', 'year', 'good', 'year', 'city', 'girl', 'live', 'stair', 'perfume', 'hair', 'come', 'undo', 'thirty', 'good', 'year', 'good', 'year', 'blue', 'blooded', 'girl', 'independent', 'mean', 'ride', 'limousine', 'chauffeur', 'drive', 'thirty', 'day', 'short', 'autumn', 'year', 'think', 'life', 'vintage', 'wine', 'fine', 'old', 'keg', 'brim', 'dreg', 'pour', 'sweet', 'clear', 'good', 'year']",seventeen good year good year small town girl soft summer night hide light village green seventeen good year good year city girl live stair perfume hair come undo thirty good year good year blue blooded girl independent mean ride limousine chauffeur drive thirty day short autumn year think life vintage wine fine old keg brim dreg pour sweet clear good year
Frank Sinatra,The Way You Look Tonight,"Some day, when I'm awfully low
When the world is cold
I will feel a glow just thinking of you
And the way you look tonight
Yes, you're lovely, with your smile so warm
And your cheeks so soft
There is nothing for me, but to love you
And the way you look tonight
With each word, your tenderness grows
Tearing my fear apart
And that laugh wrinkles your nose
Touches my foolish heart
Lovely, never, never change
Keep that breathless charm
Won't you please arrange it? 'Cause I love you
Just the way you look tonight
And that laugh that wrinkles your nose
It touches my foolish heart
Lovely, don't you ever change
Keep that breathless charm
Won't you please arrange it? 'Cause I love you
A-just the way you look tonight
Mm-mm, mm-mm
Just the way you look tonight",203,1997.0,some day when i m awfully low when the world is cold i will feel a glow just thinking of you and the way you look tonight yes you re lovely with your smile so warm and your cheeks so soft there is nothing for me but to love you and the way you look tonight with each word your tenderness grows tearing my fear apart and that laugh wrinkles your nose touches my foolish heart lovely never never change keep that breathless charm won t you please arrange it cause i love you just the way you look tonight and that laugh that wrinkles your nose it touches my foolish heart lovely don t you ever change keep that breathless charm won t you please arrange it cause i love you a just the way you look tonight mm mm mm mm just the way you look tonight,"['day', 'awfully', 'low', 'world', 'cold', 'feel', 'glow', 'think', 'way', 'look', 'tonight', 'yes', 'lovely', 'smile', 'warm', 'cheek', 'soft', 'love', 'way', 'look', 'tonight', 'word', 'tenderness', 'grow', 'tear', 'fear', 'apart', 'laugh', 'wrinkle', 'nose', 'touch', 'foolish', 'heart', 'lovely', 'change', 'breathless', 'charm', 'win', 'arrange', 'cause', 'love', 'way', 'look', 'tonight', 'laugh', 'wrinkle', 'nose', 'touch', 'foolish', 'heart', 'lovely', 'change', 'breathless', 'charm', 'win', 'arrange', 'cause', 'love', 'way', 'look', 'tonight', 'mm', 'mm', 'mm', 'mm', 'way', 'look', 'tonight']",day awfully low world cold feel glow think way look tonight yes lovely smile warm cheek soft love way look tonight word tenderness grow tear fear apart laugh wrinkle nose touch foolish heart lovely change breathless charm win arrange cause love way look tonight laugh wrinkle nose touch foolish heart lovely change breathless charm win arrange cause love way look tonight mm mm mm mm way look tonight
Frank Sinatra,My Funny Valentine,"My funny Valentine
Sweet comic Valentine
You make me smile with my heart
Your looks are laughable
Unphotographable
Yet you're my favorite work of art
Is your figure less than Greek?
Is your mouth a little weak?
When you open it to speak
Are you smart?
But don't change a hair for me
Not if you care for me
Stay, little Valentine, stay
Each day is Valentine's Day
Is your figure less than Greek?
Is your mouth a little weak?
When you open it to speak
Are you smart?
But don't change a hair for me
Not if you care for me
Stay, little Valentine, stay
Each day is Valentine's Day",152,1964.0,my funny valentine sweet comic valentine you make me smile with my heart your looks are laughable unphotographable yet you re my favorite work of art is your figure less than greek is your mouth a little weak when you open it to speak are you smart but don t change a hair for me not if you care for me stay little valentine stay each day is valentine s day is your figure less than greek is your mouth a little weak when you open it to speak are you smart but don t change a hair for me not if you care for me stay little valentine stay each day is valentine s day,"['funny', 'valentine', 'sweet', 'comic', 'valentine', 'smile', 'heart', 'look', 'laughable', 'unphotographable', 'favorite', 'work', 'art', 'figure', 'greek', 'mouth', 'little', 'weak', 'open', 'speak', 'smart', 'change', 'hair', 'care', 'stay', 'little', 'valentine', 'stay', 'day', 'valentine', 'day', 'figure', 'greek', 'mouth', 'little', 'weak', 'open', 'speak', 'smart', 'change', 'hair', 'care', 'stay', 'little', 'valentine', 'stay', 'day', 'valentine', 'day']",funny valentine sweet comic valentine smile heart look laughable unphotographable favorite work art figure greek mouth little weak open speak smart change hair care stay little valentine stay day valentine day figure greek mouth little weak open speak smart change hair care stay little valentine stay day valentine day
