,word,part_of_speech,frequency
2549,good,adj,61
2523,old,adj,52
2557,sweet,adj,43
2544,dear,adj,40
2529,little,adj,38
2521,funny,adj,27
2509,long,adj,26
2531,young,adj,26
2552,blue,adj,26
2609,wonderful,adj,26
2844,middle,adj,25
2510,true,adj,24
2527,big,adj,22
2541,happy,adj,22
2561,warm,adj,19
2570,open,adj,18
2613,bright,adj,18
2532,lovely,adj,16
2558,low,adj,14
2559,cold,adj,14
2616,glad,adj,14
2520,high,adj,13
2528,right,adj,13
2580,lonely,adj,13
2612,double,adj,13
2555,mean,adj,12
2679,beautiful,adj,12
2572,deep,adj,11
2724,sunny,adj,11
2522,fine,adj,10
2534,cool,adj,10
2600,red,adj,10
2604,free,adj,10
2630,bare,adj,10
2673,sure,adj,10
2530,new,adj,9
2595,sad,adj,9
2514,live,adj,8
2550,small,adj,8
2551,soft,adj,8
2617,close,adj,8
2637,crazy,adj,8
2684,afraid,adj,8
2778,pretty,adj,8
2796,unforgettable,adj,8
2821,dead,adj,8
2538,light,adj,7
2545,quiet,adj,7
2594,bad,adj,7
2602,wrong,adj,7
2516,tall,adj,6
2525,worth,adj,6
2569,weak,adj,6
2583,tight,adj,6
2692,great,adj,6
2719,smooth,adj,6
2763,dark,adj,6
2779,white,adj,6
2814,green,adj,6
2838,hot,adj,6
2512,clear,adj,5
2548,late,adj,5
2584,nice,adj,5
2588,fair,adj,5
2597,real,adj,5
2667,rich,adj,5
2678,lucky,adj,5
2751,divine,adj,5
2774,accustomed,adj,5
2513,certain,adj,4
2535,gentle,adj,4
2574,starry,adj,4
2576,wise,adj,4
2579,stranger,adj,4
2603,hungry,adj,4
2629,know,adj,4
2683,fundamental,adj,4
2691,awful,adj,4
2718,lazy,adj,4
2721,overdue,adj,4
2727,complete,adj,4
2737,poor,adj,4
2793,simple,adj,4
2811,colored,adj,4
2818,papa,adj,4
2831,fancy,adj,4
2875,heavy,adj,4
2518,shy,adj,3
2524,flat,adj,3
2539,gay,adj,3
2542,golden,adj,3
2546,stupid,adj,3
2567,favorite,adj,3
2578,exciting,adj,3
2581,frightful,adj,3
2582,delightful,adj,3
2590,ant,adj,3
2592,silly,adj,3
2605,fresh,adj,3
2621,wee,adj,3
2622,wide,adj,3
2644,silent,adj,3
2668,alive,adj,3
2681,romantic,adj,3
2687,murmur,adj,3
2707,grand,adj,3
2711,quick,adj,3
2723,mandoline,adj,3
2726,okay,adj,3
2735,nosed,adj,3
2755,ole,adj,3
2759,second,adj,3
2761,thrill,adj,3
2799,stylish,adj,3
2809,mighty,adj,3
2819,jive,adj,3
2825,bless,adj,3
2826,sacred,adj,3
2830,favourite,adj,3
2845,abednego,adj,3
2511,final,adj,2
2540,olden,adj,2
2543,faithful,adj,2
2554,independent,adj,2
2556,short,adj,2
2562,tear,adj,2
2563,foolish,adj,2
2568,greek,adj,2
2571,smart,adj,2
2575,eyed,adj,2
2577,standin,adj,2
2589,polite,adj,2
2607,individual,adj,2
2608,run,adj,2
2610,fling,adj,2
2611,gray,adj,2
2615,jingle,adj,2
2619,bitter,adj,2
2620,tragic,adj,2
2624,awake,adj,2
2625,linger,adj,2
2634,taboo,adj,2
2635,leadin,adj,2
2636,ancient,adj,2
2642,gloomy,adj,2
2645,calm,adj,2
2651,brave,adj,2
2654,unreachable,adj,2
2656,willing,adj,2
2657,glorious,adj,2
2662,local,adj,2
2663,separate,adj,2
2665,extreme,adj,2
2669,restless,adj,2
2674,sorry,adj,2
2689,enchant,adj,2
2701,outside,adj,2
2709,volare,adj,2
2710,black,adj,2
2714,miss,adj,2
2720,someplace,adj,2
2728,friendly,adj,2
2731,kid,adj,2
2733,purple,adj,2
2736,shiny,adj,2
2738,foggy,adj,2
2741,tattered,adj,2
2756,french,adj,2
2762,satisfied,adj,2
2764,mayhem,adj,2
2765,regular,adj,2
2769,sonata,adj,2
2771,married,adj,2
2772,unafraid,adj,2
2776,accustom,adj,2
2783,brown,adj,2
2784,plain,adj,2
2786,fit,adj,2
2789,extraordinary,adj,2
2791,hard,adj,2
2794,merry,adj,2
2795,worthwhile,adj,2
2797,darle,adj,2
2798,incredible,adj,2
2800,strange,adj,2
2801,broken,adj,2
2802,doorstep,adj,2
2803,nous,adj,2
2813,yell,adj,2
2829,strong,adj,2
2839,moan,adj,2
2840,sigh,adj,2
2842,siree,adj,2
2848,rainy,adj,2
2849,nothin,adj,2
2850,rascal,adj,2
2855,sleepy,adj,2
2856,mammy,adj,2
2858,sunbeam,adj,2
2859,buzz,adj,2
2865,drown,adj,2
2894,direct,adj,2
2515,careful,adj,1
2517,amusing,adj,1
2519,naught,adj,1
2526,single,adj,1
2533,samba,adj,1
2536,balanço,adj,1
2537,porque,adj,1
2547,clever,adj,1
2553,blooded,adj,1
2560,glow,adj,1
2564,comic,adj,1
2565,laughable,adj,1
2566,unphotographable,adj,1
2573,exotic,adj,1
2585,ummm,adj,1
2586,unladylike,adj,1
2587,lush,adj,1
2591,stead,adj,1
2593,buttin,adj,1
2596,hum,adj,1
2598,underway,adj,1
2599,lock,adj,1
2601,sunburned,adj,1
2606,broad,adj,1
2614,sleighin,adj,1
2618,flicker,adj,1
2623,asleep,adj,1
2626,lose,adj,1
2627,fickle,adj,1
2628,lean,adj,1
2631,intense,adj,1
2632,common,adj,1
2633,wicked,adj,1
2638,inconceivable,adj,1
2639,unbelievable,adj,1
2640,brief,adj,1
