artist,title,lyrics
Frank Sinatra,Fly Me to the Moon,"Fly me to the moon
Let me play among the stars
And let me see what spring is like
On a-Jupiter and Mars
In other words, hold my hand
In other words, baby, kiss me
Fill my heart with song
And let me sing forevermore
You are all I long for
All I worship and adore
In other words, please be true
In other words, I love you
Fill my heart with song
Let me sing forevermore
You are all I long for
All I worship and adore
In other words, please be true
In other words, in other words
I love you"
Frank Sinatra,My Way,"And now, the end is near
And so I face the final curtain
My friend, I'll say it clear
I'll state my case, of which I'm certain
I've lived a life that's full
I traveled each and every highway
And more, much more than this
I did it my way
Regrets, I've had a few
But then again, too few to mention
I did what I had to do
And saw it through without exemption
I planned each charted course
Each careful step along the byway
And more, much more than this
I did it my way
Yes, there were times, I'm sure you knew
When I bit off more than I could chew
But through it all, when there was doubt
I ate it up and spit it out
I faced it all, and I stood tall
And did it my way
I've loved, I've laughed and cried
I've had my fill, my share of losing
And now, as tears subside
I find it all so amusing
To think I did all that
And may I say, not in a shy way
Oh, no, oh, no, not me
I did it my way
For what is a man, what has he got?
If not himself, then he has naught
To say the things he truly feels
And not the words of one who kneels
The record shows I took the blows
And did it my way
Yes, it was my way"
Frank Sinatra,That’s Life,"That's life (That's life), that's what all the people say
You're riding high in April, shot down in May
But I know I'm gonna change that tune
When I'm back on top, back on top in June
I said, that's life (That's life), and as funny as it may seem
Some people get their kicks stompin' on a dream
But I don't let it, let it get me down
'Cause this fine old world, it keeps spinning around
I've been a puppet, a pauper, a pirate, a poet, a pawn and a king
I've been up and down and over and out, and I know one thing
Each time I find myself flat on my face
I pick myself up and get back in the race
That's life (That's life), I tell ya, I can't deny it
I thought of quitting, baby
But my heart just ain't gonna buy it
And if I didn't think it was worth one single try
I'd jump right on a big bird and then I'd fly
I've been a puppet, a pauper, a pirate, a poet, a pawn and a king
I've been up and down and over and out, and I know one thing
Each time I find myself laying flat on my face
I just pick myself up and get back in the race
That's life (That's life), that's life and I can't deny it
Many times I thought of cutting out but my heart won't buy it
But if there's nothing shaking come this here July
I'm gonna roll myself up in a big ball and die
My, my"
Frank Sinatra,"Theme from New York, New York","Start spreading the news, I'm leaving today
I want to be a part of it: New York, New York
These vagabond shoes are longing to stray
Right through the very heart of it: New York, New York
I wanna wake up in a city that doesn't sleep
And find I'm king of the hill, top of the heap
These little town blues are melting away
I'll make a brand new start of it in old New York
If I can make it there, I'll make it anywhere
It's up to you, New York, New York
New York, New York
I want to wake up in a city that never sleeps
And find I'm a number one, top of the list
King of the hill, a number one
These little town blues are melting away
I'm gonna make a brand new start of it in old New York
And if I can make it there, I'm gonna make it anywhere
It's up to you, New York, New York"
Frank Sinatra,The Girl From Ipanema (Garota De Ipanema),"Tall and tan and young and lovely
The girl from Ipanema goes walking
And when she passes
Each one she passes goes ""ah""
When she walks, she's like a samba
That swings so cool and sways so gentle
That when she passes
Each one she passes goes  ""ooh""
But I watch her so sadly
How can I tell her I love her
Yes, I would give my heart gladly
But each day, when she walks to the sea
She looks straight ahead, not at me
Tall and tan and young and lovely
The girl from Ipanema goes walking
And when she passes
I smile but she doesn't see, doesn't see
Olha que coisa mais linda mais cheia de graça
Ela menina que vem e que passa
Num doce balanço a caminho do mar
Moça do corpo dourado do sol de Ipanema
O seu balançado parece um poema
É a coisa mais linda que eu já vi passar..
Ooh, but I watch her so sadly
Ah, porque tudo é tão triste
Yes, I would give my heart gladly
But each day, when she walks to the sea
She looks straight ahead, not at me
Tall, tan, young, lovely
The girl from Ipanema goes walking
And when she passes
I smile but she doesn't see
Por causa do amor
She just doesn't see
Nem olha para mim
She never sees me
Por causa do amor"
Frank Sinatra,Have Yourself a Merry Little Christmas,"Have yourself a merry little Christmas
Let your heart be light
From now on, our troubles will be out of sight
Have yourself a merry little Christmas (Merry little Christmas)
Make the Yuletide gay (Make the Yuletide gay)
From now on, our troubles will be miles away
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years, we all will be together
If the fates allow
Hang a shining star upon the highest bough
And have yourself a merry little Christmas now
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years, we all will be together
If the fates allow
Hang a shining star upon the highest bough
And have yourself a merry little Christmas now
Merry Christmas, Merry Christmas"
Frank Sinatra,Somethin’ Stupid,"I know I stand in line until you think you have the time to spend an evening with me
And if we go someplace to dance, I know that there's a chance you won't be leaving with me
Then afterwards we drop into a quiet little place and have a drink or two
And then I go and spoil it all by saying somethin' stupid like, ""I love you""
I can see it in your eyes, that you despise the same old lies you heard the night before
And though it's just a line to you, for me it's true, and never seemed so right before
I practice every day to find some clever lines to say to make the meaning come true
But then I think I'll wait until the evening gets late, and I'm alone with you
The time is right, your perfume fills my head, the stars get red, and, oh, the night's so blue
And then I go and spoil it all by saying somethin' stupid like, ""I love you""
The time is right, your perfume fills my head, the stars get red, and, oh, the night's so blue
And then I go and spoil it all by saying somethin' stupid like, ""I love you""
""I love you""
""I love you""
""I love you""
""I love you"""
Frank Sinatra,It Was a Very Good Year,"When I was seventeen
It was a very good year
It was a very good year for small town girls
And soft summer nights
We'd hide from the lights
On the village green
When I was seventeen
When I was twenty-one
It was a very good year
It was a very good year for city girls
Who lived up the stair
With all that perfumed hair
And it came undone
When I was twenty-one
When I was thirty-five
It was a very good year
It was a very good year for blue-blooded girls
Of independent means
We'd ride in limousines
Their chauffeurs would drive
When I was thirty-five
But now the days are short
I'm in the autumn of the year
And now I think of my life as vintage wine
From fine old kegs
From the brim to the dregs
It poured sweet and clear
It was a very good year"
Frank Sinatra,The Way You Look Tonight,"Some day, when I'm awfully low
When the world is cold
I will feel a glow just thinking of you
And the way you look tonight
Yes, you're lovely, with your smile so warm
And your cheeks so soft
There is nothing for me, but to love you
And the way you look tonight
With each word, your tenderness grows
Tearing my fear apart
And that laugh wrinkles your nose
Touches my foolish heart
Lovely, never, never change
Keep that breathless charm
Won't you please arrange it? 'Cause I love you
Just the way you look tonight
And that laugh that wrinkles your nose
It touches my foolish heart
Lovely, don't you ever change
Keep that breathless charm
Won't you please arrange it? 'Cause I love you
A-just the way you look tonight
Mm-mm, mm-mm
Just the way you look tonight"
Frank Sinatra,My Funny Valentine,"My funny Valentine
Sweet comic Valentine
You make me smile with my heart
Your looks are laughable
Unphotographable
Yet you're my favorite work of art
Is your figure less than Greek?
Is your mouth a little weak?
When you open it to speak
Are you smart?
But don't change a hair for me
Not if you care for me
Stay, little Valentine, stay
Each day is Valentine's Day
Is your figure less than Greek?
Is your mouth a little weak?
When you open it to speak
Are you smart?
But don't change a hair for me
Not if you care for me
Stay, little Valentine, stay
Each day is Valentine's Day"
Frank Sinatra,I’ve Got You Under My Skin,"I've got you under my skin
I've got you deep in the heart of me
So deep in my heart that you're really a part of me
I've got you under my skin
I tried so not to give in
I said to myself, 'this affair never will go so well'
But why should I try to resist when, baby, I know so well
I've got you under my skin
I'd sacrifice anything, come what might
For the sake of having you near
In spite of a warning voice that comes in the night
And repeats, repeats in my ear
""Don't you know little fool, you never can win?
Use your mentality, wake up to reality""
But each time that I do, just the thought of you
Makes me stop before I begin
'Cause I've got you under my skin
I would sacrifice anything, come what might
For the sake of having you near
In spite of a warning voice that comes in the night
And repeats, how it yells in my ear
""Don't you know, little fool, you never can win?
Why not use your mentality? Step up, wake up to reality""
But each time I do, just the thought of you
Makes me stop just before I begin
'Cause I've got you under my skin
Yes, I've got you, under my skin"
Frank Sinatra,Come Fly with Me (Platinum Version),"Come fly with me, let's fly, let's fly away
If you can use some exotic booze, there's a bar in far Bombay
Come fly with me, let's fly, let's fly away
Come fly with me, let's float down to Peru
In llama land, there's a one man band, and he'll toot his flute for you
Come fly with me, let's take off in the blue
Once I get you up there, where the air is rarefied
We'll just glide, starry-eyed
Once I get you up there, I'll be holding you so near
You may hear angels cheer 'cause we're together
Weather wise, it's such a lovely day
Just say the words and we'll beat the birds down to Acapulco Bay
It's perfect for a flying honeymoon, they say
Come fly with me, let's fly, let's fly away
Once I get you up there, where the air is rarefied
We'll just glide, starry-eyed
Once I get you up there, I'll be holding you so near
You may hear angels cheer 'cause we're together
Weather wise, it's such a lovely day
You just say the words and we'll beat the birds down to Acapulco Bay
It's perfect for a flying honeymoon, they say
Come fly with me, let's fly, let's fly
Pack up, let's fly away"
Frank Sinatra,Blue Moon,"Blue moon
You saw me standin' alone
Without a dream in my heart
Without a love of my own
Blue moon
You knew just what I was there for
You heard me sayin' a prayer for
Someone I really could care for
And then there suddenly appeared before me
The only one my arms will hold
I heard somebody whisper, ""Please adore me""
And when I looked, the moon had turned to gold
Blue moon
Now, I'm no longer alone
Without a dream in my heart
Without a love of my own
And then there suddenly appeared before me
The only one my arms will ever hold
I heard somebody whisper, ""Please adore me""
And when I looked, the moon had turned to gold
Blue moon
Now, I'm no longer alone
Without a dream in my heart
Without a love of my own
Blue moon
Now, I'm no longer alone
Without a dream in my heart
Without a love of my own"
Frank Sinatra,Strangers in the Night,"Strangers in the night exchanging glances
Wondering in the night, what were the chances?
We'd be sharing love before the night was through
Something in your eyes was so inviting
Something in your smile was so exciting
Something in my heart told me I must have you
Strangers in the night
Two lonely people, we were strangers in the night
Up to the moment when we said our first hello, little did we know
Love was just a glance away, a warm embracing dance away and
Ever since that night we've been together
Lovers at first sight, in love forever
It turned out so right for strangers in the night
Love was just a glance away, a warm embracing dance away
Ever since that night we've been together
Lovers at first sight, in love forever
It turned out so right for strangers in the night
Dooby-doooby-doo
Doob-dooob-doob-dee-daa
Daaa-daaa-daaa-daaa-daaa"
